epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.764,2.35316,3.66333,2.06026,0.0056,0.94382,0.28156,0.0841,2.07613,3.51941,1.90808,0.00048,0.00048,0.00048
2,157.146,2.29524,3.00105,2.03561,0.48476,0.38059,0.33895,0.09854,2.05237,3.44994,2.02067,0.000970298,0.000970298,0.000970298
3,235.356,2.11146,3.09021,1.85029,0.28823,0.16854,0.21461,0.05824,2.43085,3.24987,2.20064,0.0014507,0.0014507,0.0014507
4,314.622,2.27892,2.70689,2.00804,0.39618,0.42024,0.30536,0.07442,2.32304,2.85208,2.26882,0.00192119,0.00192119,0.00192119
5,395.043,2.23253,2.91578,1.95706,0.31929,0.48315,0.32778,0.09549,2.3732,4.10047,2.63369,0.0019208,0.0019208,0.0019208
6,477.725,2.2653,2.53408,2.05237,0.30406,0.44944,0.28835,0.09867,2.29257,4.02195,2.41961,0.001901,0.001901,0.001901
7,557.889,2.19981,2.38424,1.96347,0.38363,0.49438,0.31948,0.0991,2.21571,2.6734,2.23001,0.0018812,0.0018812,0.0018812
8,639.869,2.10706,2.6229,1.89917,0.24079,0.5203,0.25124,0.09469,2.38006,2.6663,2.2204,0.0018614,0.0018614,0.0018614
9,727.038,2.24873,2.45157,2.00134,0.38122,0.46067,0.35588,0.10493,2.18746,3.06767,2.08279,0.0018416,0.0018416,0.0018416
10,809.963,2.23468,2.41051,2.05458,0.5351,0.47191,0.50621,0.1623,2.14088,3.32733,2.0541,0.0018218,0.0018218,0.0018218
11,890.905,2.16781,2.29646,2.00994,0.68583,0.49059,0.59146,0.23464,2.0631,2.40724,2.03415,0.001802,0.001802,0.001802
12,2637.38,2.24537,2.29625,2.04837,0.55713,0.55056,0.57805,0.21074,2.08708,1.95832,1.91356,0.0017822,0.0017822,0.0017822
13,2697.21,2.15883,2.16822,1.98034,0.51879,0.57303,0.52508,0.1925,2.30035,2.0577,2.12842,0.0017624,0.0017624,0.0017624
14,2751.43,2.12022,2.09257,2.04575,0.55443,0.59551,0.55605,0.19126,2.21369,1.97513,2.19809,0.0017426,0.0017426,0.0017426
15,2815.13,2.14837,2.18117,1.97947,0.48977,0.53933,0.4632,0.16343,2.12002,2.05609,2.08592,0.0017228,0.0017228,0.0017228
16,2870.37,2.05895,2.11307,1.86501,0.57135,0.659,0.66718,0.25659,2.00505,1.96555,1.8865,0.001703,0.001703,0.001703
17,2924.53,2.0672,2.05019,1.85763,0.61418,0.57303,0.60175,0.19817,2.11613,1.95802,2.03049,0.0016832,0.0016832,0.0016832
18,2978.88,2.06248,1.9589,1.89374,0.70285,0.68539,0.7022,0.27449,1.97227,1.75505,1.88999,0.0016634,0.0016634,0.0016634
19,3032.78,2.03273,1.95282,1.87344,0.64369,0.70787,0.62858,0.21091,1.98663,1.92407,1.93563,0.0016436,0.0016436,0.0016436
20,3086.11,2.02671,1.95324,1.86735,0.67322,0.68539,0.59406,0.20367,1.95548,1.82211,1.87853,0.0016238,0.0016238,0.0016238
21,3140.73,2.04458,1.95881,1.83967,0.70638,0.70284,0.70221,0.25224,1.91343,1.87184,1.94441,0.001604,0.001604,0.001604
22,3195.59,1.89051,1.91149,1.80289,0.56514,0.70787,0.63408,0.25534,1.96072,1.91167,1.94929,0.0015842,0.0015842,0.0015842
23,3250.56,2.08551,1.9543,1.97072,0.63203,0.79775,0.73413,0.30405,1.99437,1.59697,1.87894,0.0015644,0.0015644,0.0015644
24,3307.25,1.93445,1.83255,1.78899,0.62902,0.74302,0.70122,0.29787,1.88941,1.62492,1.85274,0.0015446,0.0015446,0.0015446
25,3361.87,1.93669,1.72174,1.78095,0.61951,0.76404,0.68701,0.29866,1.96836,1.78624,1.89684,0.0015248,0.0015248,0.0015248
26,3415.84,1.92675,1.80605,1.74176,0.67897,0.76404,0.75154,0.32935,1.86163,1.92923,1.82165,0.001505,0.001505,0.001505
27,3469.88,1.86532,1.82765,1.73613,0.73171,0.73549,0.74514,0.32927,1.91673,1.61203,1.88746,0.0014852,0.0014852,0.0014852
28,3524.05,1.99506,1.78616,1.87915,0.76321,0.7191,0.73428,0.32606,1.79891,1.83246,1.85825,0.0014654,0.0014654,0.0014654
29,3578,1.89797,1.69275,1.81063,0.70148,0.68647,0.72227,0.31167,1.83792,1.79481,1.85992,0.0014456,0.0014456,0.0014456
30,3631.91,1.87343,1.72434,1.73306,0.74717,0.77528,0.78247,0.33794,1.87535,1.50465,1.81993,0.0014258,0.0014258,0.0014258
31,3687.21,1.85965,1.5969,1.73087,0.74235,0.68539,0.73603,0.28293,1.97645,1.65407,1.95898,0.001406,0.001406,0.001406
32,3742.81,1.94556,1.66602,1.76697,0.73103,0.76404,0.79068,0.34323,1.91853,1.49038,1.85979,0.0013862,0.0013862,0.0013862
33,3796.07,1.82551,1.58668,1.70413,0.77922,0.83277,0.84722,0.37563,1.845,1.47538,1.78011,0.0013664,0.0013664,0.0013664
34,3849.37,1.85093,1.57398,1.76119,0.76623,0.7191,0.78206,0.36604,1.87332,1.42873,1.7879,0.0013466,0.0013466,0.0013466
35,3902.82,1.87756,1.62865,1.78488,0.75371,0.74157,0.81221,0.38796,1.75493,1.37898,1.72558,0.0013268,0.0013268,0.0013268
36,3959.62,1.84779,1.59719,1.73647,0.83457,0.73034,0.84339,0.38432,1.76404,1.35775,1.76541,0.001307,0.001307,0.001307
37,4013.78,1.74683,1.66897,1.68276,0.76825,0.78223,0.83341,0.40692,1.87064,1.39368,1.82498,0.0012872,0.0012872,0.0012872
38,4067.33,1.84804,1.56999,1.75724,0.80659,0.74977,0.83141,0.42037,1.80169,1.33772,1.76271,0.0012674,0.0012674,0.0012674
39,4121.01,1.79702,1.50093,1.67549,0.74076,0.78652,0.80531,0.39527,1.91988,1.31069,1.79339,0.0012476,0.0012476,0.0012476
40,4174.03,1.81833,1.56246,1.69635,0.76582,0.68539,0.79864,0.37492,1.85673,1.40192,1.78197,0.0012278,0.0012278,0.0012278
41,4230.2,1.83012,1.56868,1.70209,0.68686,0.7191,0.75482,0.33236,1.89902,1.521,1.81487,0.001208,0.001208,0.001208
42,4289.43,1.81552,1.52762,1.7414,0.87197,0.73034,0.83738,0.39935,1.72844,1.42767,1.74921,0.0011882,0.0011882,0.0011882
43,4344.14,1.7486,1.4631,1.70129,0.76945,0.77528,0.8353,0.39894,1.73927,1.31646,1.7369,0.0011684,0.0011684,0.0011684
44,4398.54,1.75738,1.43641,1.63494,0.71972,0.86517,0.84309,0.42314,1.64366,1.25417,1.62721,0.0011486,0.0011486,0.0011486
45,4452.85,1.68891,1.39684,1.64609,0.82388,0.84102,0.86967,0.41589,1.67852,1.21034,1.64371,0.0011288,0.0011288,0.0011288
46,4507.57,1.73194,1.39165,1.60058,0.8387,0.83146,0.88768,0.45044,1.68796,1.18945,1.63833,0.001109,0.001109,0.001109
47,4561.23,1.71103,1.34179,1.61029,0.77873,0.76404,0.78709,0.36682,1.80928,1.38423,1.74903,0.0010892,0.0010892,0.0010892
48,4614.21,1.67673,1.3707,1.59608,0.87227,0.83146,0.8851,0.49012,1.57518,1.16254,1.60818,0.0010694,0.0010694,0.0010694
49,4667.04,1.66162,1.38595,1.5797,0.84028,0.80899,0.90357,0.51088,1.47553,1.07469,1.51596,0.0010496,0.0010496,0.0010496
50,4720.02,1.62405,1.34784,1.57863,0.82863,0.86933,0.90974,0.50384,1.54353,1.07671,1.54643,0.0010298,0.0010298,0.0010298
51,4773.41,1.67679,1.37118,1.57932,0.82632,0.80188,0.88535,0.47665,1.59196,1.0695,1.57641,0.00101,0.00101,0.00101
52,4826.43,1.6688,1.32244,1.60495,0.8823,0.83146,0.93397,0.49114,1.53964,1.0735,1.54789,0.0009902,0.0009902,0.0009902
53,4881.92,1.56251,1.31462,1.51632,0.91438,0.84004,0.91056,0.48892,1.51101,1.12204,1.55886,0.0009704,0.0009704,0.0009704
54,4935.46,1.57914,1.29651,1.53457,0.8324,0.8427,0.91013,0.5203,1.5092,1.12893,1.54704,0.0009506,0.0009506,0.0009506
55,4988.96,1.68342,1.29278,1.61201,0.81712,0.85343,0.91524,0.5038,1.62211,1.04315,1.57312,0.0009308,0.0009308,0.0009308
56,5041.96,1.52544,1.17995,1.53156,0.89489,0.82022,0.92996,0.52285,1.60876,0.97052,1.55763,0.000911,0.000911,0.000911
57,5095.67,1.64603,1.31986,1.57517,0.92742,0.80899,0.92814,0.5572,1.48612,0.98716,1.50889,0.0008912,0.0008912,0.0008912
58,5150.25,1.61137,1.32944,1.56453,0.92912,0.8427,0.94514,0.56851,1.47465,0.97365,1.52733,0.0008714,0.0008714,0.0008714
59,5204.33,1.54693,1.26564,1.54663,0.90571,0.86349,0.9429,0.5591,1.41758,0.94835,1.46108,0.0008516,0.0008516,0.0008516
60,5258.22,1.55243,1.1917,1.50613,0.89519,0.85393,0.91384,0.53156,1.44814,0.95288,1.46047,0.0008318,0.0008318,0.0008318
61,5311.88,1.52756,1.16634,1.51721,0.85612,0.86916,0.93426,0.5729,1.39362,0.91522,1.44425,0.000812,0.000812,0.000812
62,5365.51,1.67429,1.18011,1.59058,0.90762,0.88313,0.94178,0.57438,1.40982,0.88576,1.46787,0.0007922,0.0007922,0.0007922
63,5419.6,1.60616,1.1847,1.53727,0.91973,0.86517,0.95368,0.58175,1.37886,0.87734,1.42817,0.0007724,0.0007724,0.0007724
64,5473.69,1.5464,1.14385,1.51623,0.94177,0.9087,0.97006,0.6327,1.34654,0.85195,1.41164,0.0007526,0.0007526,0.0007526
65,5527.75,1.44407,1.21513,1.41939,0.96548,0.82022,0.96003,0.61915,1.2851,0.85882,1.37159,0.0007328,0.0007328,0.0007328
66,5581.77,1.50192,1.12175,1.48815,0.8907,0.91568,0.95635,0.61559,1.2813,0.84925,1.38467,0.000713,0.000713,0.000713
67,5635.76,1.45084,1.11871,1.45316,0.84438,0.91011,0.9468,0.63385,1.2513,0.87647,1.3522,0.0006932,0.0006932,0.0006932
68,5690,1.50432,1.14899,1.42962,0.86001,0.88764,0.94405,0.6047,1.29563,0.90227,1.34907,0.0006734,0.0006734,0.0006734
69,5744.46,1.4267,1.04941,1.41078,0.90627,0.86917,0.95567,0.61887,1.30826,0.82316,1.33258,0.0006536,0.0006536,0.0006536
70,5798.53,1.46829,1.08185,1.46663,0.88805,0.88764,0.95448,0.60217,1.3545,0.8108,1.36721,0.0006338,0.0006338,0.0006338
71,5853.16,1.44574,0.98432,1.43119,0.91187,0.89888,0.96605,0.64411,1.2803,0.8153,1.33015,0.000614,0.000614,0.000614
72,5907.99,1.41701,1.06241,1.41533,0.86825,0.93258,0.95858,0.63926,1.30634,0.81447,1.35471,0.0005942,0.0005942,0.0005942
73,5962.05,1.41098,1.07429,1.40651,0.90091,0.91945,0.95473,0.62024,1.31244,0.83452,1.35691,0.0005744,0.0005744,0.0005744
74,6015.55,1.40054,1.04123,1.40791,0.92104,0.91749,0.96441,0.63823,1.30379,0.80442,1.34527,0.0005546,0.0005546,0.0005546
75,6069.03,1.45187,1.07542,1.41176,0.93154,0.95506,0.97256,0.67939,1.18167,0.75999,1.28248,0.0005348,0.0005348,0.0005348
76,6122.27,1.39428,1.0011,1.37344,0.95219,0.94382,0.97792,0.69635,1.1681,0.74146,1.27697,0.000515,0.000515,0.000515
77,6175.38,1.36851,0.96133,1.36583,0.95533,0.95506,0.98278,0.70025,1.18658,0.70982,1.26719,0.0004952,0.0004952,0.0004952
78,6228.52,1.36487,0.97945,1.36718,0.9234,0.96629,0.97943,0.68917,1.19701,0.7083,1.26072,0.0004754,0.0004754,0.0004754
79,6281.87,1.37206,0.95902,1.35031,0.96544,0.94153,0.9793,0.69315,1.21243,0.68873,1.27768,0.0004556,0.0004556,0.0004556
80,6335.84,1.29255,0.98732,1.33119,0.96476,0.92277,0.97961,0.70432,1.18337,0.69124,1.25621,0.0004358,0.0004358,0.0004358
81,6389.83,1.28243,0.9366,1.31128,0.96959,0.93258,0.97869,0.69187,1.13769,0.67715,1.22939,0.000416,0.000416,0.000416
82,6444.16,1.3195,0.94161,1.34086,0.95926,0.92135,0.9763,0.68918,1.13198,0.67957,1.22624,0.0003962,0.0003962,0.0003962
83,6497.79,1.28356,0.8906,1.31962,0.97483,0.92135,0.97823,0.70996,1.09668,0.66308,1.19786,0.0003764,0.0003764,0.0003764
84,6551.46,1.33791,1.01265,1.34,0.96488,0.92615,0.97794,0.71463,1.11133,0.66091,1.20765,0.0003566,0.0003566,0.0003566
85,6607.3,1.29258,0.89928,1.30362,0.96216,0.92135,0.97937,0.71626,1.07294,0.63898,1.19138,0.0003368,0.0003368,0.0003368
86,6660.31,1.32945,0.94526,1.32026,0.98121,0.92135,0.97886,0.72242,1.09439,0.62762,1.19961,0.000317,0.000317,0.000317
87,6713.8,1.34388,0.95342,1.36377,0.98364,0.92135,0.98016,0.73492,1.10853,0.64083,1.19875,0.0002972,0.0002972,0.0002972
88,6767.69,1.17649,0.85529,1.24809,0.9448,0.96157,0.9819,0.72344,1.10383,0.62445,1.19853,0.0002774,0.0002774,0.0002774
89,6820.32,1.27092,0.94527,1.30214,0.96577,0.95099,0.98002,0.7179,1.11939,0.62968,1.20147,0.0002576,0.0002576,0.0002576
90,6873.31,1.21349,0.87896,1.26098,0.94404,0.94779,0.97851,0.69995,1.17735,0.6653,1.2379,0.0002378,0.0002378,0.0002378
91,6927.49,1.27126,0.86848,1.34529,1,0.92131,0.98251,0.72206,1.13273,0.64124,1.21013,0.000218,0.000218,0.000218
92,6980.35,1.21678,0.84204,1.32317,0.97698,0.95356,0.98387,0.71173,1.14589,0.64111,1.22186,0.0001982,0.0001982,0.0001982
93,7033.05,1.19368,0.76608,1.27952,0.996,0.94382,0.98376,0.73826,1.07205,0.61549,1.19324,0.0001784,0.0001784,0.0001784
94,7085.76,1.16005,0.77259,1.28129,0.99614,0.94382,0.98408,0.72028,1.09116,0.64342,1.20882,0.0001586,0.0001586,0.0001586
95,7138.22,1.13433,0.77063,1.26896,0.99457,0.94382,0.9837,0.74306,1.04007,0.63344,1.17176,0.0001388,0.0001388,0.0001388
96,7190.82,1.10951,0.73569,1.2595,0.99995,0.94382,0.98396,0.75077,1.02946,0.61996,1.16102,0.000119,0.000119,0.000119
97,7243.71,1.08061,0.79789,1.19634,1,0.94183,0.98397,0.74685,1.02377,0.61791,1.15547,9.92e-05,9.92e-05,9.92e-05
98,7296.42,1.0761,0.69999,1.20444,0.99545,0.94382,0.98413,0.74803,1.01768,0.61067,1.14959,7.94e-05,7.94e-05,7.94e-05
99,7349.16,1.03999,0.7149,1.21208,0.96626,0.96541,0.98503,0.75164,1.00109,0.59995,1.14088,5.96e-05,5.96e-05,5.96e-05
100,7404.64,1.06218,0.73413,1.21125,0.9663,0.96648,0.98488,0.75301,0.99105,0.59316,1.13599,3.98e-05,3.98e-05,3.98e-05
